cell_group	cell_type	cell_type_name	cell_type_stage	original_gene_symbol	gene_symbol	gene_id
somatic	Blood	Blood		CD74	CD74	ENSG00000019582
somatic	Blood	Blood		HBA2	HBA2	ENSG00000188536
somatic	Blood	Blood		HBG1	HBG1	ENSG00000213934
somatic	Blood	Blood		HBG2	HBG2	ENSG00000196565
somatic	Blood	Blood		HLA-DRB1	HLA-DRB1	ENSG00000196126
somatic	Endothelial	Endothelial		CD34	CD34	ENSG00000174059
somatic	Fibroblasts	Fibroblasts		FSP1	BFSP1	ENSG00000125864
somatic	LC	Leydig	adult	CYP1B1	CYP1B1	ENSG00000138061
somatic	LC	Leydig	adult	HSD3B1	HSD3B1	ENSG00000203857
somatic	LC	Leydig	adult	HSD3B2	HSD3B2	ENSG00000203859
somatic	LC	Leydig	adult	IGF1	IGF1	ENSG00000017427
somatic	LC	Leydig	prepubertal	INHBA	INHBA	ENSG00000122641
somatic	LC	Leydig	adult	INSL3	INSL3	ENSG00000248099
somatic	LC	Leydig	adult	SF1	SF1	ENSG00000168066
somatic	LC	Leydig	adult	STAR	STAR	ENSG00000147465
somatic	LC	Leydig	fetal	TSP2	THBS2	ENSG00000186340
somatic	LC	Leydig	fetal	VCAM1	VCAM1	ENSG00000162692
somatic	Macrophage	Macrophage		AIF1	AIF1	ENSG00000204472
somatic	Macrophage	Macrophage		CD68	CD68	ENSG00000129226
somatic	PTM	Peritubular myoid	adult	ACTA2	ACTA2	ENSG00000107796
somatic	PTM	Peritubular myoid	adult	CNN1	CNN1	ENSG00000130176
somatic	PTM	Peritubular myoid	adult	MYH11	MYH11	ENSG00000133392
somatic	PTM	Peritubular myoid	adult	SMA	SMA	
somatic	PTM	Peritubular myoid	fetal	TAGLN	TAGLN	ENSG00000149591
somatic	PTM	Peritubular myoid	adult	TPM1	TPM1	ENSG00000140416
somatic	SC	Sertoli	adult	GATA1	GATA1	ENSG00000102145
somatic	SC	Sertoli	adult	GATA4	GATA4	ENSG00000136574
somatic	SC	Sertoli	prepubertal	INHA	INHA	ENSG00000123999
somatic	SC	Sertoli	prepubertal	INHBB	INHBB	ENSG00000163083
somatic	SC	Sertoli	prepubertal	SOX4	SOX4	ENSG00000124766
somatic	SC	Sertoli	prepubertal	SOX9	SOX9	ENSG00000125398
somatic	SC	Sertoli	adult	WT1	WT1	ENSG00000184937
somatic	Stroma	Stroma		GNG11	GNG11	ENSG00000127920
somatic	Stroma	Stroma		HLA-B	HLA-B	ENSG00000234745
somatic	Stroma	Stroma		KLF2	KLF2	ENSG00000127528
somatic	Stroma	Stroma		MGP	MGP	ENSG00000111341
somatic	Stroma	Stroma		SLC9A3R2	SLC9A3R2	ENSG00000065054
somatic	Stroma	Stroma		SPARCL1	SPARCL1	ENSG00000152583
germ	Diff_SPG	Differentiated spermatogonia		DMRT1	DMRT1	ENSG00000137090
germ	Diff_SPG	Differentiated spermatogonia		KIT	KIT	ENSG00000157404
germ	Diff_SPG	Differentiated spermatogonia		SOHLH1	SOHLH1	ENSG00000165643
germ	Diff_SPG	Differentiated spermatogonia		SOHLH2	SOHLH2	ENSG00000120669
germ	Diff_SPG	Differentiated spermatogonia		STRA8	STRA8	ENSG00000146857
germ	PGC	Perimordial germ		CD38	CD38	ENSG00000004468
germ	PGC	Perimordial germ		DND1	DND1	ENSG00000256453
germ	PGC	Perimordial germ		DPPA3	DPPA3	ENSG00000187569
germ	PGC	Perimordial germ		KIT	KIT	ENSG00000157404
germ	PGC	Perimordial germ		NANOG	NANOG	ENSG00000111704
germ	PGC	Perimordial germ		NANOS3	NANOS3	ENSG00000187556
germ	PGC	Perimordial germ		PDPN	PDPN	ENSG00000162493
germ	PGC	Perimordial germ		PIWIL1	PIWIL1	ENSG00000125207
germ	PGC	Perimordial germ		POU5F1	POU5F1	ENSG00000204531
germ	PGC	Perimordial germ		PRDM1	PRDM1	ENSG00000057657
germ	PGC	Perimordial germ		SOX15	SOX15	ENSG00000129194
germ	PGC	Perimordial germ		SOX17	SOX17	ENSG00000164736
germ	PGC	Perimordial germ		T	TBXT	ENSG00000164458
germ	PGC	Perimordial germ		TCL1A	TCL1A	ENSG00000100721
germ	PGC	Perimordial germ		TET1	TET1	ENSG00000138336
germ	PGC	Perimordial germ		TFAP2C	TFAP2C	ENSG00000087510
germ	PGC	Perimordial germ		ZFP42	ZFP42	ENSG00000179059
germ	PreSG	PreSG		CPEB1	CPEB1	ENSG00000214575
germ	PreSG	PreSG		DDX4	DDX4	ENSG00000152670
germ	PreSG	PreSG		KLF5	KLF5	ENSG00000102554
germ	PreSG	PreSG		MAGEA4	MAGEA4	ENSG00000147381
germ	PreSG	PreSG		PIWIL2	PIWIL2	ENSG00000197181
germ	PreSG	PreSG		PIWIL4	PIWIL4	ENSG00000134627
germ	PreSG	PreSG		TDRD6	TDRD6	ENSG00000180113
germ	PreSG	PreSG		TEX14	TEX14	ENSG00000121101
germ	PreSG	PreSG		TEX15	TEX15	ENSG00000133863
germ	PreSG	PreSG		TFCP2L1	TFCP2L1	ENSG00000115112
germ	PreSG	PreSG		UTF1	UTF1	ENSG00000171794
germ	Progenitors	Progenitors		MAGEA4	MAGEA4	ENSG00000147381
germ	Progenitors	Progenitors		NANOS3	NANOS3	ENSG00000187556
germ	Progenitors	Progenitors		NGN3	NEUROG3	ENSG00000122859
germ	SPC	Spermatocyte		ACRROSIN	ACR	ENSG00000100312
germ	SPC	Spermatocyte		RAD51	RAD51	ENSG00000051180
germ	SPC	Spermatocyte		REC8	REC8	ENSG00000100918
germ	SPC	Spermatocyte		SPO11	SPO11	ENSG00000054796
germ	SPC	Spermatocyte		STRA8	STRA8	ENSG00000146857
germ	SPC	Spermatocyte		SYCP1	SYCP1	ENSG00000198765
germ	SPC	Spermatocyte		SYCP3	SYCP3	ENSG00000139351
germ	SSC	Spermatogonial stem		C19orf84	C19orf84	ENSG00000262874
germ	SSC	Spermatogonial stem		CPEB1	CPEB1	ENSG00000214575
germ	SSC	Spermatogonial stem		EGR4	EGR4	ENSG00000135625
germ	SSC	Spermatogonial stem		ENHO	ENHO	ENSG00000168913
germ	SSC	Spermatogonial stem		FSD1	FSD1	ENSG00000105255
germ	SSC	Spermatogonial stem		LIN7B	LIN7B	ENSG00000104863
germ	SSC	Spermatogonial stem		MAGEB2	MAGEB2	ENSG00000099399
germ	SSC	Spermatogonial stem		MORC1	MORC1	ENSG00000114487
germ	SSC	Spermatogonial stem		MSL3	MSL3	ENSG00000005302
germ	SSC	Spermatogonial stem		NOC4L	NOC4L	ENSG00000184967
germ	SSC	Spermatogonial stem		PIWIL4	PIWIL4	ENSG00000134627
germ	SSC	Spermatogonial stem		LPPR5	PLPPR5	ENSG00000117598
germ	SSC	Spermatogonial stem		PODXL2	PODXL2	ENSG00000114631
germ	SSC	Spermatogonial stem		PTRHD1	PTRHD1	ENSG00000184924
germ	SSC	Spermatogonial stem		RAC3	RAC3	ENSG00000169750
germ	SSC	Spermatogonial stem		RGS14	RGS14	ENSG00000169220
germ	SSC	Spermatogonial stem		SH2B2	SH2B2	ENSG00000160999
germ	SSC	Spermatogonial stem		STK31	STK31	ENSG00000196335
germ	SSC	Spermatogonial stem		SURF2	SURF2	ENSG00000148291
germ	SSC	Spermatogonial stem		TCF3	TCF3	ENSG00000071564
germ	SSC	Spermatogonial stem		UTF1	UTF1	ENSG00000171794
germ	St	St		PRM1	PRM1	ENSG00000175646
germ	St	St		PRM2	PRM2	ENSG00000122304
germ	St	St		TNP1	TNP1	ENSG00000118245
germ	St	St		TNP2	TNP2	ENSG00000178279
germ	Undiff_SPG	Undifferentiated spermatogonia		BCL6B	BCL6B	ENSG00000161940
germ	Undiff_SPG	Undifferentiated spermatogonia		FGFR3	FGFR3	ENSG00000068078
germ	Undiff_SPG	Undifferentiated spermatogonia		ID4	ID4	ENSG00000172201
germ	Undiff_SPG	Undifferentiated spermatogonia		LIN28	LIN28A	ENSG00000131914
germ	Undiff_SPG	Undifferentiated spermatogonia		SALL4	SALL4	ENSG00000101115
germ	Undiff_SPG	Undifferentiated spermatogonia		UTF1	UTF1	ENSG00000171794
germ	Undiff_SPG	Undifferentiated spermatogonia		ZBTB16	ZBTB16	ENSG00000109906
