cell_group	cell_type	cell_type_name	cell_type_stage	original_gene_symbol	gene_symbol
somatic	SC	Sertoli	adult	GATA1	GATA1
somatic	SC	Sertoli	adult	WT1	WT1
somatic	SC	Sertoli	adult	GATA4	GATA4
somatic	SC	Sertoli	prepubertal	INHA	INHA
somatic	SC	Sertoli	prepubertal	SOX9	SOX9
somatic	SC	Sertoli	prepubertal	SOX4	SOX4
somatic	SC	Sertoli	prepubertal	INHBB	INHBB
somatic	PTM	Peritubular myoid	adult	MYH11	MYH11
somatic	PTM	Peritubular myoid	adult	CNN1	CNN1
somatic	PTM	Peritubular myoid	adult	SMA	SMA
somatic	PTM	Peritubular myoid	adult	ACTA2	ACTA2
somatic	PTM	Peritubular myoid	adult	TPM1	TPM1
somatic	PTM	Peritubular myoid	fetal	TAGLN	TAGLN
somatic	LC	Leydig	adult	HSD3B2	HSD3B2
somatic	LC	Leydig	adult	IGF1	IGF1
somatic	LC	Leydig	adult	INSL3	INSL3
somatic	LC	Leydig	adult	STAR	STAR
somatic	LC	Leydig	adult	SF1	SF1
somatic	LC	Leydig	adult	CYP1B1	CYP1B1
somatic	LC	Leydig	adult	HSD3B1	HSD3B1
somatic	LC	Leydig	prepubertal	INHBA	INHBA
somatic	LC	Leydig	fetal	VCAM1	VCAM1
somatic	LC	Leydig	fetal	TSP2	THBS2
somatic	Endothelial	Endothelial	NA	CD34	CD34
somatic	Blood	Blood	NA	CD74	CD74
somatic	Blood	Blood	NA	HLA-DRB1	HLA-DRB1
somatic	Blood	Blood	NA	HBA2	HBA2
somatic	Blood	Blood	NA	HBG2	HBG2
somatic	Blood	Blood	NA	HBG1	HBG1
somatic	Macrophage	Macrophage	NA	AIF1	AIF1
somatic	Macrophage	Macrophage	NA	CD68	CD68
somatic	Stroma	Stroma	NA	MGP	MGP
somatic	Stroma	Stroma	NA	GNG11	GNG11
somatic	Stroma	Stroma	NA	SPARCL1	SPARCL1
somatic	Stroma	Stroma	NA	SLC9A3R2	SLC9A3R2
somatic	Stroma	Stroma	NA	HLA-B	HLA-B
somatic	Stroma	Stroma	NA	KLF2	KLF2
somatic	Fibroblasts	Fibroblasts	NA	FSP1	FSP1
germ	PGC	Perimordial germ	NA	POU5F1	POU5F1
germ	PGC	Perimordial germ	NA	NANOG	NANOG
germ	PGC	Perimordial germ	NA	SOX17	SOX17
germ	PGC	Perimordial germ	NA	TFAP2C	TFAP2C
germ	PGC	Perimordial germ	NA	NANOS3	NANOS3
germ	PGC	Perimordial germ	NA	PDPN	PDPN
germ	PGC	Perimordial germ	NA	KIT	KIT
